LECROYWR104MXi-A€¿;49371;Waveform
Segments;1;SegmentSize;502
Segment;TrigTime;TimeSinceSegment1
#1;01-Jan-2002 00:47:56;0                 
Time;Ampl
-8.40218e-009;0.00319128
-8.30218e-009;0.00959103
-8.20218e-009;0.00319128
-8.10218e-009;0.00319128
-8.00218e-009;-8.60127e-006
-7.90218e-009;0.00319128
-7.80218e-009;-0.00320848
-7.70218e-009;-0.00320848
-7.60218e-009;-8.60127e-006
-7.50218e-009;0.00959103
-7.40218e-009;0.00639115
-7.30218e-009;-8.60127e-006
-7.20218e-009;-0.0128081
-7.10218e-009;-0.0224077
-7.00218e-009;-0.0256076
-6.90218e-009;-0.0224077
-6.80218e-009;-0.0256076
-6.70218e-009;-0.0256076
-6.60218e-009;-0.016008
-6.50218e-009;-0.016008
-6.40218e-009;-0.00960823
-6.30218e-009;-0.0128081
-6.20218e-009;-0.00960823
-6.10218e-009;-0.00640836
-6.00218e-009;0.00319128
-5.90218e-009;0.00319128
-5.80218e-009;-0.00640836
-5.70218e-009;-0.016008
-5.60218e-009;-0.016008
-5.50218e-009;-0.0192079
-5.40218e-009;-0.0128081
-5.30218e-009;-0.0128081
-5.20218e-009;-0.00960823
-5.10218e-009;-0.0128081
-5.00218e-009;-0.00960823
-4.90218e-009;-0.016008
-4.80218e-009;-0.00640836
-4.70218e-009;-0.00640836
-4.60218e-009;0.00319128
-4.50218e-009;0.00319128
-4.40218e-009;0.0127909
-4.30218e-009;0.0255904
-4.20218e-009;0.0319902
-4.10218e-009;0.03519
-4.00218e-009;0.0127909
-3.90218e-009;0.00319128
-3.80218e-009;-0.00640836
-3.70218e-009;-0.00960823
-3.60218e-009;-8.60127e-006
-3.50218e-009;0.00319128
-3.40218e-009;-0.00320848
-3.30218e-009;-0.00960823
-3.20218e-009;-0.0192079
-3.10218e-009;-0.0192079
-3.00218e-009;-0.0224077
-2.90218e-009;-0.0320074
-2.80218e-009;-0.0352072
-2.70218e-009;-0.041607
-2.60218e-009;-0.0224077
-2.50218e-009;-0.0192079
-2.40218e-009;-0.00640836
-2.30218e-009;-0.00640836
-2.20218e-009;-0.00320848
-2.10218e-009;-0.016008
-2.00218e-009;-0.016008
-1.90218e-009;-0.0192079
-1.80218e-009;-0.016008
-1.70218e-009;-0.0224077
-1.60218e-009;-0.0192079
-1.50218e-009;-0.0192079
-1.40218e-009;-0.0256076
-1.30218e-009;-0.0224077
-1.20218e-009;-0.00960823
-1.10218e-009;-0.0128081
-1.00218e-009;-0.00640836
-9.02185e-010;-8.60127e-006
-8.02185e-010;0.00959103
-7.02185e-010;0.00639115
-6.02185e-010;-8.60127e-006
-5.02185e-010;-0.016008
-4.02185e-010;-0.0224077
-3.02185e-010;-0.041607
-2.02185e-010;-0.0480068
-1.02185e-010;-0.0736058
-2.18453e-012;-0.108804
9.78155e-011;-0.176002
1.97815e-010;-0.249599
2.97815e-010;-0.326396
3.97815e-010;-0.383994
4.97815e-010;-0.435192
5.97815e-010;-0.435192
6.97815e-010;-0.412793
7.97815e-010;-0.345595
8.97815e-010;-0.268798
9.97815e-010;-0.179202
1.09782e-009;-0.0992048
1.19782e-009;-0.041607
1.29782e-009;-0.00640836
1.39782e-009;0.0159908
1.49782e-009;0.03519
1.59782e-009;0.0479896
1.69782e-009;0.0543893
1.79782e-009;0.0511894
1.89782e-009;0.0543893
1.99782e-009;0.0447897
2.09782e-009;0.03519
2.19782e-009;0.0255904
2.29782e-009;0.0159908
2.39782e-009;0.0127909
2.49782e-009;0.00639115
2.59782e-009;-0.00960823
2.69782e-009;-0.0128081
2.79782e-009;-0.0192079
2.89782e-009;-0.0288075
2.99782e-009;-0.0320074
3.09782e-009;-0.0352072
3.19782e-009;-0.0320074
3.29782e-009;-0.0288075
3.39782e-009;-0.0224077
3.49782e-009;-0.0224077
3.59782e-009;-0.0352072
