S142C	2022-10-04 19:42:55
value unit [W]	time unit [ms]
wavelength	405.000nm
range	AUTO
2.851482E-08	82778
8.383821E-09	83078
4.623561E-08	83378
2.277627E-08	83678
-9.383128E-09	83977
-1.234440E-07	84277
1.033006E-07	84578
5.408607E-08	84878
-8.903532E-08	85178
-1.601680E-08	85477
5.016089E-08	85778
-4.168023E-08	86077
-4.195538E-08	86377
7.658172E-08	86678
-6.146689E-08	86977
-1.307884E-08	87277
4.061194E-08	87578
7.789006E-08	87878
-5.262915E-08	88178
1.116113E-08	88478
-5.542973E-08	88777
3.856897E-08	89078
-4.069301E-08	89377
-1.968699E-09	89680
-6.936348E-08	89980
4.965561E-08	90280
3.999294E-09	90580
1.329575E-08	90880
2.387817E-08	91180
-5.095362E-08	91494
-1.578771E-08	91794
5.764421E-08	92094
-3.017988E-08	92393
-3.867327E-08	92693
-1.149521E-08	92994
7.777525E-08	93294
2.277652E-09	93594
9.462649E-09	93894
-2.336126E-09	94193
-1.601695E-08	94494
2.204179E-08	94794
8.737008E-08	95094
-1.808279E-08	95393
-7.163580E-08	95694
4.527318E-09	95994
-1.753186E-08	96294
3.519449E-08	96594
-5.705996E-08	96893
-4.388345E-08	97196
-2.526741E-08	97496
5.346614E-08	97796
-2.331650E-08	98096
-1.461676E-08	98396
-3.477075E-08	98696
5.309924E-08	98996
-1.372005E-09	99296
8.160841E-08	99596
-2.981252E-08	99896
1.841480E-08	100196
-5.947002E-08	100496
5.720919E-09	100796
-4.381494E-08	101096
4.155262E-08	101396
-4.230009E-08	101696
-5.568237E-08	101996
4.660302E-08	102296
-1.438721E-08	102596
8.658912E-09	102896
2.330377E-08	103196
-2.012589E-08	103496
-8.933367E-08	103796
4.152983E-08	104096
3.840805E-08	104399
-1.377219E-07	104698
-5.664408E-09	104999
1.598138E-08	105299
-6.300494E-08	105599
7.809677E-08	105899
-1.296389E-08	106199
8.268745E-08	106499
-2.974378E-08	106798
6.170696E-08	107099
2.231517E-09	107399
1.963138E-08	107699
2.215634E-08	107999
5.335228E-12	108299
-6.704501E-08	108598
3.755876E-08	108899
2.874452E-08	109199
9.370563E-08	109499
-1.691244E-08	109799
-3.873981E-09	110098
-4.303453E-08	110398
7.201351E-08	110699
-2.379847E-08	110999
4.265476E-08	111299
-3.063917E-08	111601
4.903607E-08	111901
3.007570E-08	112201
2.192673E-08	112501
5.580765E-08	112801
-5.033385E-08	113101
-1.248205E-08	113401
2.493383E-08	113701
4.416975E-08	114001
-9.360003E-09	114301
-9.651828E-08	114601
-6.192433E-09	114901
-2.737969E-08	115201
7.951988E-08	115501
-7.113075E-08	115801
9.530944E-09	116101
1.497147E-08	116401
4.274654E-08	116701
2.465849E-08	117001
2.970847E-08	117301
1.889679E-08	117601
-5.161943E-08	117901
-1.207124E-07	118201
5.658805E-08	118501
-1.952895E-08	118804
-7.117669E-08	119104
8.567068E-09	119404
3.234816E-08	119704
-7.113075E-08	120004
-3.093749E-08	120304
4.123145E-08	120617
-2.242110E-08	120917
-1.140320E-08	121217
-1.093501E-07	121517
1.283672E-08	121817
-1.087498E-08	122117
3.388590E-08	122417
1.358960E-07	122717
7.612253E-08	123017
-4.957641E-08	123317
-1.235818E-07	123617
-5.687484E-09	123917
5.406300E-08	124217
7.554826E-08	124517
6.427798E-08	124817
1.217119E-08	125117
-4.154255E-08	125417
-1.253034E-07	125717
-1.764699E-08	126019
8.199861E-08	126320
1.452615E-07	126620
-1.053331E-07	126919
-6.569057E-08	127220
2.872143E-08	127520
-1.897808E-08	127819
6.785869E-08	128120
-7.074060E-08	128419
-2.519869E-08	128720
-3.543672E-08	129019
-5.113505E-09	129319
9.937550E-08	129620
-2.797618E-08	129919
4.242531E-08	130220
4.364174E-08	130520
2.679334E-08	130820
-8.749740E-08	131119
-7.856799E-08	131419
4.416990E-08	131720
-1.314759E-08	132019
-5.265235E-08	132319
-1.255062E-08	132619
7.687987E-08	132920
4.258596E-08	133222
2.922618E-08	133522
-8.589046E-08	133822
7.499760E-08	134122
-2.533662E-08	134422
-8.024384E-08	134722
-1.952897E-08	135022
7.871656E-08	135322
-2.113590E-08	135622
2.185873E-09	135922
1.667470E-07	136222
6.696364E-08	136522
2.087069E-08	136822
5.654218E-08	137122
6.007719E-08	137422
1.109209E-08	137722
-9.672490E-08	138022
-1.900241E-09	138322
1.937866E-08	138622
-4.069293E-08	138922
2.364863E-08	139222
2.849180E-08	139522
-3.984389E-08	139822
6.253346E-10	140122
-2.088325E-08	140425
3.338087E-08	140725
-4.813042E-08	141025
2.764244E-08	141325
6.430068E-08	141625
1.131023E-07	141925
-1.985034E-08	142225
-2.680527E-09	142525
-2.910118E-08	142825
3.434547E-08	143125
6.563234E-08	143425
2.137592E-08	143725
-4.425091E-08	144025
3.813242E-08	144325
1.110590E-07	144625
7.300036E-08	144925
-2.951416E-08	145225
-4.530695E-08	145525
-5.657754E-08	145825
6.303814E-08	146125
1.196458E-08	146425
1.504035E-08	146725
-9.268273E-09	147025
1.150519E-08	147328
-1.861077E-08	147627
3.687006E-08	147928
-6.208673E-08	148227
9.921462E-08	148528
-1.224571E-07	148827
7.208256E-08	149128
3.817848E-08	149441
-6.793999E-08	149741
-9.729870E-08	150041
3.705368E-08	150341
1.112888E-07	150641
2.587497E-08	150941
-3.077669E-08	151241
1.216184E-07	151541
-5.262934E-08	151841
-7.776471E-09	152141
6.407130E-08	152441
1.221718E-09	152741
-2.616286E-08	153041
-8.671682E-08	153341
7.052161E-08	153641
-5.324903E-08	153941
-5.586607E-08	154241
-2.152599E-08	154544
4.770459E-08	154844
-5.251457E-08	155143
2.458938E-08	155444
1.315810E-08	155744
-6.575949E-08	156043
6.416317E-08	156344
6.262509E-08	156644
-3.229193E-08	156944
3.604407E-08	157244
3.778811E-08	157544
-1.009945E-07	157844
-3.431187E-08	158143
-8.933388E-08	158444
1.380091E-08	158744
4.371069E-08	159044
-5.242270E-08	159343
1.011891E-07	159644
-1.150429E-07	159944
1.579797E-08	160244
2.688500E-08	160544
1.621137E-08	160844
5.101084E-09	161144
-9.190458E-08	161443
4.033639E-08	161746
4.524868E-08	162046
-1.234418E-08	162346
4.944892E-08	162646
-4.018815E-08	162946
2.706876E-08	163246
-2.081446E-08	163546
-7.693846E-08	163846
6.946562E-08	164146
-2.097543E-08	164446
-2.221450E-08	164746
-1.310182E-08	165046
5.000027E-08	165346
-7.119967E-08	165646
4.433043E-08	165946
-3.192453E-08	166246
5.514221E-09	166546
-1.218832E-07	166846
-4.539874E-08	167146
1.047697E-07	167446
5.245634E-08	167746
-5.256064E-08	168046
7.180690E-08	168346
4.703887E-08	168646
7.839486E-08	168949
-2.611627E-09	169249
-2.056235E-08	169549
-4.982904E-08	169849
2.334991E-08	170149
5.036770E-08	170449
1.185654E-07	170749
6.531084E-08	171049
5.491570E-09	171349
1.290600E-08	171649
2.077944E-08	171949
-2.646119E-08	172249
-4.395287E-08	172548
-2.540533E-08	172848
1.885106E-08	173149
1.434482E-07	173449
-3.784665E-08	173749
-1.025518E-08	174048
-6.791693E-08	174348
3.184337E-08	174649
-8.729113E-08	174948
5.651915E-08	175249
-8.713015E-08	175549
1.963137E-08	175849
8.803582E-08	176151
-1.444932E-07	176451
-1.778457E-08	176751
-7.186527E-08	177051
-5.871206E-09	177351
-9.518736E-08	177651
6.723890E-08	177951
1.154206E-07	178265
1.394542E-07	178565
-4.200136E-08	178864
-1.968994E-09	179165
6.983291E-08	179465
-1.042539E-07	179764
1.077086E-08	180065
-6.151293E-08	180364
9.896220E-08	180665
2.789485E-08	180965
5.980153E-08	181265
-5.086170E-08	181564
-4.962225E-08	181865
-1.502999E-08	182165
4.742925E-08	182465
5.142330E-08	182765
2.635722E-08	183065
9.462368E-08	183367
-2.439548E-08	183667
