S142C	2022-10-04 19:54:20
value unit [W]	time unit [ms]
wavelength	405.000nm
range	AUTO
1.321519E-05	0
1.316059E-05	297
1.324685E-05	597
1.326967E-05	897
1.250952E-05	1197
1.139679E-05	1497
1.300989E-05	1797
1.318921E-05	2097
1.316878E-05	2397
1.305995E-05	2697
1.309352E-05	2997
1.318714E-05	3297
1.314444E-05	3597
1.323882E-05	3897
1.308881E-05	4197
1.300689E-05	4497
1.325565E-05	4797
1.311216E-05	5097
1.331440E-05	5397
1.341001E-05	5697
1.358623E-05	5997
1.335625E-05	6297
1.358559E-05	6597
1.341339E-05	6900
1.287161E-05	7200
1.300703E-05	7500
1.295809E-05	7800
1.322934E-05	8100
1.310466E-05	8400
1.328254E-05	8700
1.315980E-05	9000
1.319720E-05	9300
1.314390E-05	9600
1.317859E-05	9900
1.329209E-05	10200
1.326577E-05	10500
1.322877E-05	10800
1.329538E-05	11100
1.301426E-05	11400
1.333589E-05	11700
1.322911E-05	12000
1.324338E-05	12300
1.313856E-05	12600
1.325656E-05	12900
1.314843E-05	13200
1.309573E-05	13500
1.310134E-05	13800
1.326747E-05	14100
1.295980E-05	14400
1.313191E-05	14702
1.308495E-05	15002
1.330049E-05	15302
1.329001E-05	15602
1.307497E-05	15902
1.335991E-05	16202
1.310176E-05	16502
1.327416E-05	16802
1.305072E-05	17102
1.316575E-05	17402
1.324549E-05	17702
1.321623E-05	18002
1.305764E-05	18302
1.319226E-05	18602
1.312836E-05	18902
1.316959E-05	19202
1.311402E-05	19502
1.314924E-05	19802
1.329908E-05	20102
1.318637E-05	20402
1.327444E-05	20702
1.306583E-05	21002
1.332868E-05	21302
1.326189E-05	21602
1.146895E-05	21902
8.077127E-06	22202
8.166217E-06	22505
8.266279E-06	22805
8.145143E-06	23105
8.191809E-06	23405
8.222337E-06	23705
8.163449E-06	24005
8.204709E-06	24305
8.170481E-06	24605
8.180399E-06	24905
8.117939E-06	25205
8.108346E-06	25505
8.199972E-06	25805
7.953908E-06	26105
8.488428E-06	26405
7.954615E-06	26705
8.238269E-06	27005
8.148857E-06	27305
8.041822E-06	27605
8.109978E-06	27905
8.195138E-06	28205
8.102126E-06	28505
8.031720E-06	28805
8.104259E-06	29105
8.216049E-06	29405
8.050728E-06	29705
8.200711E-06	30009
8.199223E-06	30309
8.162380E-06	30609
8.160479E-06	30909
8.160337E-06	31209
8.053855E-06	31524
8.026905E-06	31827
8.124594E-06	32127
8.163731E-06	32427
8.288766E-06	32727
8.060371E-06	33027
8.179668E-06	33327
7.993227E-06	33627
8.203076E-06	33927
8.165588E-06	34227
8.278343E-06	34527
8.037689E-06	34827
8.170598E-06	35127
8.175695E-06	35427
7.987011E-06	35727
8.245494E-06	36027
8.041225E-06	36327
8.225071E-06	36627
8.170025E-06	36927
8.228811E-06	37227
8.212030E-06	37527
8.209439E-06	37829
8.254587E-06	38129
7.960792E-06	38429
8.188407E-06	38729
8.209206E-06	39029
8.086951E-06	39329
8.319373E-06	39629
8.105123E-06	39929
8.269491E-06	40229
8.123014E-06	40529
8.109606E-06	40829
8.012075E-06	41129
8.147782E-06	41429
8.263796E-06	41729
8.118583E-06	42029
8.235003E-06	42329
8.238540E-06	42629
7.953721E-06	42929
4.613612E-06	43229
4.784524E-06	43529
4.762101E-06	43829
4.742894E-06	44129
4.637189E-06	44429
4.641016E-06	44729
4.677769E-06	45029
4.721382E-06	45329
4.751615E-06	45632
4.682340E-06	45932
4.647558E-06	46232
4.687226E-06	46532
4.739290E-06	46832
4.754941E-06	47132
4.652749E-06	47432
4.721682E-06	47732
4.869484E-06	48032
4.657961E-06	48332
4.381104E-06	48632
4.844170E-06	48932
4.726067E-06	49232
4.824516E-06	49532
4.579568E-06	49832
4.757094E-06	50132
4.623461E-06	50432
4.749389E-06	50732
4.701095E-06	51032
4.869647E-06	51332
4.481829E-06	51632
4.556153E-06	51932
4.600528E-06	52232
4.407182E-06	52532
4.723566E-06	52832
4.554713E-06	53135
4.621596E-06	53435
4.855350E-06	53735
4.657109E-06	54035
4.547708E-06	54335
4.801401E-06	54635
4.701366E-06	54935
4.705752E-06	55235
4.720028E-06	55535
4.743168E-06	55835
4.822200E-06	56135
4.601443E-06	56435
4.718880E-06	56735
4.663602E-06	57035
4.620863E-06	57335
4.717937E-06	57635
4.691060E-06	57935
4.668356E-06	58235
4.613063E-06	58535
4.787631E-06	58835
4.688925E-06	59135
4.672464E-06	59435
4.541535E-06	59735
4.629909E-06	60035
4.599082E-06	60335
4.689863E-06	60635
4.632321E-06	60937
4.604613E-06	61237
4.758102E-06	61537
4.615194E-06	61837
4.663191E-06	62137
4.552297E-06	62450
4.638698E-06	62750
4.679424E-06	63050
4.714428E-06	63350
4.686057E-06	63650
4.643081E-06	63950
4.591418E-06	64250
3.398008E-06	64550
3.303433E-06	64850
3.309586E-06	65150
3.369039E-06	65450
3.388987E-06	65750
3.400603E-06	66050
3.239347E-06	66350
3.293104E-06	66650
3.350238E-06	66950
3.227687E-06	67250
3.487691E-06	67550
3.291911E-06	67850
3.202321E-06	68150
3.338348E-06	68453
3.439923E-06	68753
3.357032E-06	69053
3.377532E-06	69353
3.308601E-06	69653
3.337087E-06	69953
3.442565E-06	70253
3.252225E-06	70553
3.257577E-06	70853
3.350587E-06	71153
3.322441E-06	71453
3.271962E-06	71753
3.366536E-06	72053
3.347599E-06	72353
3.280043E-06	72653
3.233198E-06	72953
3.336767E-06	73253
3.205467E-06	73553
3.446602E-06	73853
3.368675E-06	74153
3.361996E-06	74453
3.237971E-06	74753
3.358022E-06	75053
3.392525E-06	75353
3.282270E-06	75653
3.313052E-06	75953
3.259502E-06	76256
3.282548E-06	76556
3.397182E-06	76856
3.327815E-06	77156
3.318518E-06	77456
3.271921E-06	77756
3.356464E-06	78056
3.366285E-06	78356
3.371956E-06	78656
3.310530E-06	78956
3.207851E-06	79256
3.263747E-06	79556
3.341978E-06	79856
3.394590E-06	80156
3.330041E-06	80456
3.331783E-06	80756
3.314547E-06	81056
3.270036E-06	81356
3.228099E-06	81656
2.834638E-06	81956
2.601579E-06	82256
2.637731E-06	82556
2.634883E-06	82856
2.712288E-06	83156
2.581790E-06	83456
2.622282E-06	83756
2.636423E-06	84058
2.620608E-06	84358
2.617187E-06	84658
2.527940E-06	84958
2.631877E-06	85258
2.484786E-06	85558
2.518601E-06	85858
2.529020E-06	86158
2.750738E-06	86458
2.638306E-06	86758
2.567950E-06	87058
2.566823E-06	87358
2.649140E-06	87658
2.653685E-06	87958
2.642092E-06	88258
2.669639E-06	88558
2.694567E-06	88858
2.559158E-06	89158
2.488091E-06	89458
2.658412E-06	89758
2.579381E-06	90058
2.686579E-06	90358
2.552869E-06	90658
2.515729E-06	90958
2.578165E-06	91258
2.602426E-06	91561
2.723857E-06	91861
2.534093E-06	92161
2.591136E-06	92461
2.663349E-06	92761
2.714193E-06	93061
2.471104E-06	93374
2.580668E-06	93674
